id,name,type ,age ,function,representation ,position,organisation
th,Tomas Hitzlsperger,0,38,V,"S,K, ST",Vor,daf
os,Oliver Schraft,0,53,V,K,M,kc
cv,Claus Vogt,0,51,AR,NA,Vor,"ig, fcpf"
wp,Wilfried Porth,0,62,AR,NA,StVor,"dag, mcb, hmss, swm"
ra,Rainer Adrion,0,67,AR,S,M,elf
hj,Hartmut Jenner,0,55,AR,NA,StVor,"ak, akf"
fr,Franz Reiner,0,53,AR,NA,M,dma
bs,Bertram Sugg,0,55,AR,NA,M,"rb, fcc"
tk,Tobis Keller,0,NA,V,"F, V, ST",IVor,NA
daf,Deutsche Akademie für Fußballkultur,1,NA,NA,NA,NA,NA
kc,Kommission Clubmedien,1,NA,NA,NA,NA,NA
ig,Intensia Group,1,NA,NA,NA,NA,NA
fcpf,FC PlayFair! e.V.,1,NA,NA,NA,NA,NA
dag,Daimler AG,1,NA,NA,NA,NA,NA
mcb,Mercedes-Benz Bank,1,NA,NA,NA,NA,NA
hmss,Hanns Martin Schleyer-Stiftung,1,NA,NA,NA,NA,NA
swm,Suedwestmetall,1,NA,NA,NA,NA,NA
elf,11hilft e.V.,1,NA,NA,NA,NA,NA
ak,Alfred Kaercher SE & Co. KG,1,NA,NA,NA,NA,NA
akf,Alfred-Kaercher-Förderstiftung,1,NA,NA,NA,NA,NA
dma,Daimler Mobility AG,1,NA,NA,NA,NA,NA
rb,Robert Bosch GmBH,1,NA,NA,NA,NA,NA
fcc,Fanclub Courage Gerlingen,1,NA,NA,NA,NA,NA
v,Vorstand,1,NA,NA,NA,NA,NA
a,Aufsichtsrat,1,NA,NA,NA,NA,NA